DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(3.0m),Dir#1(3.0m),Speed#2(5.0m),Dir#2(5.0m),Speed#3(7.0m),Dir#3(7.0m),Speed#4(9.0m),Dir#4(9.0m),Speed#5(11.0m),Dir#5(11.0m),Speed#6(13.0m),Dir#6(13.0m),Speed#7(15.0m),Dir#7(15.0m),Speed#8(17.0m),Dir#8(17.0m),Speed#9(19.0m),Dir#9(19.0m),Speed#10(21.0m),Dir#10(21.0m),Speed#11(23.0m),Dir#11(23.0m),Speed#12(25.0m),Dir#12(25.0m),Speed#13(27.0m),Dir#13(27.0m),Speed#14(29.0m),Dir#14(29.0m),Speed#15(31.0m),Dir#15(31.0m),Speed#16(33.0m),Dir#16(33.0m),Speed#17(35.0m),Dir#17(35.0m),Speed#18(37.0m),Dir#18(37.0m),Speed#19(39.0m),Dir#19(39.0m),Speed#20(41.0m),Dir#20(41.0m),Speed#21(43.0m),Dir#21(43.0m),Speed#22(45.0m),Dir#22(45.0m),Speed#23(47.0m),Dir#23(47.0m),Speed#24(49.0m),Dir#24(49.0m),Speed#25(51.0m),Dir#25(51.0m),Speed#26(53.0m),Dir#26(53.0m),Speed#27(55.0m),Dir#27(55.0m),
30/01/2017 03:00:00, 16.6,232.7,  2.5, -6.4, 45.777, 24.45,  0.0,  0.0,  0.139,  59.74,  0.022,  43.44,  0.035, 148.48,  0.029, 224.30,  0.019, 257.98,  0.013, 189.60,  0.033, 168.58,  0.030, 134.19,  0.071, 177.89,  0.032, 151.80,  0.048, 303.73,  0.022, 347.21,  0.046, 359.73,  0.028,  16.61,  0.050,  53.91,  0.076,  74.67,  0.096,  44.64,  0.118,  52.65,  0.246,  21.98,  0.656,  32.16,  0.989,  36.08,  1.018,  40.34,  0.739,  39.53,  0.471,  40.12,  0.272,  44.15,  0.198,  28.21,  0.223,  32.26,
30/01/2017 04:00:00, 16.6,232.7,  2.5, -6.4, 45.739, 26.11,  0.0,  0.0,  0.061,  12.24,  0.040, 303.22,  0.023, 267.00,  0.048, 305.92,  0.033, 284.71,  0.051,   2.98,  0.044,  46.46,  0.044, 331.46,  0.085, 325.14,  0.082, 335.69,  0.077, 354.27,  0.046,  12.57,  0.036,  44.80,  0.018,  38.39,  0.060,  74.78,  0.080,  77.14,  0.091,  61.57,  0.123,  80.18,  0.264,   6.16,  0.577,  34.27,  0.734,  30.25,  0.928,  43.59,  0.613,  49.25,  0.307,  42.37,  0.148,  95.25,  0.241, 102.43,  0.179, 113.00,
30/01/2017 05:00:00, 16.6,232.6,  2.5, -6.4, 45.679, 26.80,  0.0,  0.0,  0.205, 330.94,  0.235, 321.61,  0.252, 317.88,  0.269, 302.07,  0.243, 304.99,  0.271, 305.62,  0.274, 307.51,  0.262, 309.59,  0.267, 310.45,  0.234, 309.27,  0.227, 327.19,  0.213, 329.35,  0.215, 318.79,  0.248, 328.29,  0.222, 311.82,  0.201, 309.88,  0.174, 317.14,  0.154, 326.83,  0.222,  21.38,  0.600,  31.61,  0.919,  27.00,  0.857,  22.92,  0.637,  38.14,  0.321,  35.54,  0.214,  15.15,  0.090,  20.94,  0.061, 351.89,
30/01/2017 06:00:00, 16.6,232.5,  2.5, -6.4, 45.573, 26.93,  0.0,  0.0,  0.352, 327.40,  0.351, 315.41,  0.368, 314.20,  0.363, 314.95,  0.348, 311.14,  0.350, 304.26,  0.334, 305.83,  0.304, 300.42,  0.338, 300.84,  0.309, 305.64,  0.329, 302.35,  0.326, 302.99,  0.284, 306.22,  0.264, 308.77,  0.244, 306.22,  0.239, 308.99,  0.240, 311.58,  0.230, 320.25,  0.210,   0.90,  0.602,  29.21,  0.809,  25.50,  0.838,  24.37,  0.584,  19.24,  0.226, 351.75,  0.201, 343.78,  0.234, 328.93,  0.246, 332.66,
30/01/2017 07:00:00, 16.6,232.7,  2.5, -6.4, 45.450, 26.92,  0.0,  0.0,  0.330, 315.42,  0.375, 316.86,  0.371, 315.13,  0.386, 318.46,  0.401, 320.66,  0.389, 317.08,  0.370, 318.05,  0.382, 323.39,  0.372, 325.62,  0.382, 317.32,  0.377, 318.00,  0.370, 311.80,  0.347, 305.42,  0.362, 308.51,  0.280, 307.09,  0.284, 308.94,  0.269, 309.10,  0.257, 311.02,  0.205,  19.40,  0.548,  27.99,  0.800,  26.15,  0.679,  24.81,  0.467,  19.27,  0.199, 355.57,  0.193, 326.54,  0.284, 331.51,  0.275, 329.56,
30/01/2017 08:00:00, 16.7,232.6,  2.5, -6.4, 45.376, 27.11,  0.0,  0.0,  0.316, 323.71,  0.343, 328.33,  0.395, 325.95,  0.418, 327.74,  0.436, 327.25,  0.440, 325.42,  0.448, 318.72,  0.452, 317.02,  0.431, 317.00,  0.419, 313.18,  0.413, 308.58,  0.377, 308.26,  0.367, 303.61,  0.387, 299.96,  0.380, 300.61,  0.389, 303.95,  0.361, 302.97,  0.388, 303.61,  0.436, 316.70,  0.440, 347.95,  0.624, 316.78,  0.681, 322.97,  0.634, 311.82,  0.564, 309.28,  0.381, 302.26,  0.361, 303.68,  0.359, 299.86,
30/01/2017 09:00:00, 16.6,232.6,  2.5, -6.4, 45.374, 26.27,  0.0,  0.0,  0.234, 337.18,  0.230, 306.92,  0.251, 307.90,  0.279, 310.56,  0.334, 311.64,  0.317, 307.88,  0.312, 316.45,  0.324, 320.87,  0.329, 325.17,  0.314, 324.20,  0.362, 323.03,  0.356, 323.48,  0.297, 315.21,  0.304, 306.10,  0.309, 308.97,  0.295, 307.11,  0.305, 304.35,  0.319, 294.91,  0.450, 317.47,  0.431, 289.52,  0.886, 302.84,  1.107, 306.37,  0.847, 294.14,  0.781, 291.31,  0.493, 281.43,  0.440, 290.90,  0.376, 301.09,
30/01/2017 10:00:00, 16.6,232.6,  2.5, -6.4, 45.436, 26.73,  0.0,  0.0,  0.076, 293.38,  0.162, 314.41,  0.177, 311.31,  0.177, 322.68,  0.210, 317.75,  0.189, 321.43,  0.197, 320.41,  0.227, 326.87,  0.259, 322.12,  0.254, 316.00,  0.246, 313.78,  0.288, 308.70,  0.261, 303.82,  0.236, 301.18,  0.277, 308.56,  0.243, 309.65,  0.220, 313.26,  0.194, 314.99,  0.412, 322.80,  0.379, 272.35,  0.749, 283.38,  0.942, 297.09,  0.775, 287.20,  0.596, 295.25,  0.562, 295.20,  0.437, 302.86,  0.357, 308.40,
30/01/2017 11:00:00, 16.7,232.4,  2.5, -6.4, 45.540, 27.07,  0.0,  0.0,  0.103, 325.29,  0.111, 321.51,  0.154, 322.97,  0.136, 308.93,  0.170, 304.79,  0.155, 301.55,  0.136, 311.04,  0.176, 306.17,  0.176, 307.70,  0.133, 301.28,  0.145, 312.44,  0.146, 313.74,  0.110, 310.70,  0.120, 319.32,  0.118, 324.46,  0.126, 313.19,  0.161, 311.42,  0.133, 295.34,  0.403, 310.01,  0.461, 260.34,  0.928, 268.22,  0.965, 271.13,  0.859, 258.21,  0.490, 271.25,  0.542, 267.80,  0.383, 268.09,  0.397, 276.35,
30/01/2017 12:00:00, 16.6,232.5,  2.5, -6.4, 45.676, 26.43,  0.0,  0.0,  0.020,  85.93,  0.076, 292.02,  0.095, 303.76,  0.125, 297.28,  0.111, 288.77,  0.120, 299.29,  0.117, 290.92,  0.073, 309.95,  0.059, 283.63,  0.060, 264.81,  0.048, 301.66,  0.071, 333.24,  0.063,   1.32,  0.043,  40.89,  0.060,  29.48,  0.057,  10.18,  0.037,  53.43,  0.046, 309.71,  0.179, 288.32,  0.470, 267.81,  0.754, 263.02,  0.846, 272.50,  0.819, 256.28,  0.554, 262.16,  0.419, 264.61,  0.396, 256.26,  0.341, 255.48,
30/01/2017 13:00:00, 16.6,232.4,  2.5, -6.4, 45.771, 27.07,  0.0,  0.0,  0.069,  34.42,  0.136, 317.62,  0.157, 316.27,  0.150, 317.67,  0.132, 313.78,  0.139, 313.95,  0.116, 307.84,  0.103, 298.05,  0.099, 313.21,  0.077, 322.53,  0.107, 336.59,  0.089, 343.49,  0.106, 335.83,  0.079, 327.64,  0.061, 313.51,  0.055, 286.01,  0.055, 256.76,  0.053, 258.95,  0.220, 292.23,  0.287, 262.14,  0.793, 255.16,  0.965, 271.46,  0.901, 263.74,  0.455, 275.03,  0.258, 300.79,  0.099, 247.66,  0.181, 249.85,
30/01/2017 14:00:00, 16.6,232.4,  2.5, -6.4, 45.825, 25.23,  0.0,  0.0,  0.084, 105.97,  0.063, 283.11,  0.123, 289.42,  0.184, 300.18,  0.207, 303.22,  0.187, 313.32,  0.189, 312.26,  0.181, 303.42,  0.171, 309.35,  0.148, 310.91,  0.169, 305.65,  0.152, 326.60,  0.132, 343.46,  0.130, 335.85,  0.150, 334.97,  0.105, 332.45,  0.147, 336.42,  0.104, 330.95,  0.190, 274.32,  0.510, 252.55,  0.775, 246.24,  1.010, 265.30,  0.940, 255.81,  0.643, 266.38,  0.369, 253.10,  0.234, 256.31,  0.204, 247.33,
30/01/2017 15:00:00, 16.6,232.4,  2.5, -6.4, 45.800, 24.32,  0.0,  0.0,  0.147, 150.18,  0.101, 122.03,  0.081, 123.99,  0.101, 128.45,  0.055, 172.12,  0.020, 243.71,  0.032, 275.89,  0.020, 269.48,  0.043, 318.67,  0.040, 254.52,  0.019, 230.82,  0.015, 217.54,  0.023,  69.52,  0.049, 101.24,  0.040,  55.40,  0.048,  74.80,  0.037, 105.27,  0.040,  46.61,  0.207, 268.42,  0.533, 249.46,  0.770, 243.46,  0.923, 265.26,  0.808, 252.94,  0.461, 268.63,  0.241, 286.59,  0.182, 258.00,  0.202, 275.95,
30/01/2017 16:00:00, 16.5,232.5,  2.5, -6.4, 45.717, 25.57,  0.0,  0.0,  0.218, 105.77,  0.206,  96.85,  0.161, 105.37,  0.165, 124.30,  0.166, 131.17,  0.117, 131.95,  0.131, 130.02,  0.157, 128.18,  0.193, 133.43,  0.244, 120.76,  0.260, 116.25,  0.280, 113.51,  0.280, 111.21,  0.254, 113.60,  0.240, 112.38,  0.246, 107.43,  0.264, 107.60,  0.237, 115.56,  0.169, 252.64,  0.406, 247.86,  0.652, 246.17,  0.841, 259.17,  0.560, 262.28,  0.297, 275.07,  0.052, 204.34,  0.102, 185.21,  0.061, 212.75,
30/01/2017 17:00:00, 16.6,232.6,  2.5, -6.4, 45.641, 26.11,  0.0,  0.0,  0.161,  88.42,  0.148, 100.99,  0.146,  85.94,  0.126,  93.29,  0.148, 106.37,  0.199, 113.82,  0.225, 122.86,  0.223, 131.36,  0.254, 132.47,  0.271, 136.07,  0.266, 141.56,  0.239, 134.17,  0.221, 127.21,  0.189, 122.83,  0.172, 127.52,  0.183, 134.74,  0.193, 140.73,  0.177, 137.96,  0.225, 256.95,  0.311, 261.71,  0.644, 258.35,  0.627, 277.93,  0.538, 276.86,  0.433, 295.78,  0.087, 260.85,  0.082, 230.60,  0.121, 207.00,
30/01/2017 18:00:00, 16.7,232.6,  2.5, -6.4, 45.501, 26.95,  0.0,  0.0,  0.105, 101.56,  0.091,  99.42,  0.075, 100.41,  0.049, 132.87,  0.075, 124.14,  0.043, 119.56,  0.075, 143.16,  0.101, 139.70,  0.109, 123.45,  0.073, 137.39,  0.092, 154.97,  0.115, 140.70,  0.144, 121.12,  0.130, 134.35,  0.128, 136.42,  0.115, 169.61,  0.124, 183.91,  0.118, 195.05,  0.164, 212.14,  0.369, 258.28,  0.490, 262.86,  0.650, 276.43,  0.442, 270.67,  0.323, 268.33,  0.233, 231.98,  0.201, 211.76,  0.161, 209.32,
30/01/2017 19:00:00, 16.6,232.5,  2.5, -6.4, 45.375, 27.10,  0.0,  0.0,  0.113,   9.67,  0.088, 356.20,  0.078, 358.11,  0.081, 358.89,  0.082, 337.02,  0.078, 321.67,  0.086, 306.36,  0.044, 305.91,  0.063, 341.89,  0.092, 334.03,  0.077,   3.04,  0.062,   6.65,  0.093,  27.95,  0.093,  27.74,  0.060,  18.18,  0.083, 349.32,  0.041, 338.97,  0.068, 338.07,  0.176, 297.29,  0.256, 323.61,  0.586, 293.75,  0.575, 289.45,  0.496, 280.96,  0.239, 296.45,  0.056, 273.41,  0.072, 199.70,  0.110, 198.97,
30/01/2017 20:00:00, 16.7,232.5,  2.5, -6.4, 45.274, 27.09,  0.0,  0.0,  0.208, 307.45,  0.240, 313.75,  0.246, 317.15,  0.181, 314.46,  0.179, 309.44,  0.139, 302.90,  0.146, 300.71,  0.186, 303.14,  0.198, 316.66,  0.215, 325.87,  0.219, 334.91,  0.192, 336.66,  0.173, 351.70,  0.204, 357.72,  0.208, 349.16,  0.189, 349.43,  0.191, 345.68,  0.202, 335.92,  0.380, 325.94,  0.377, 317.68,  0.808, 301.14,  0.898, 296.76,  0.705, 306.27,  0.544, 325.47,  0.298, 328.12,  0.327, 327.54,  0.256, 333.98,
30/01/2017 21:00:00, 16.6,232.5,  2.5, -6.4, 45.223, 27.14,  0.0,  0.0,  0.232, 327.45,  0.208, 325.28,  0.187, 317.70,  0.232, 291.88,  0.256, 294.79,  0.250, 288.76,  0.242, 289.77,  0.270, 293.81,  0.267, 305.50,  0.256, 309.03,  0.214, 314.91,  0.199, 312.00,  0.209, 302.65,  0.215, 311.88,  0.237, 314.96,  0.226, 316.77,  0.221, 321.22,  0.263, 326.00,  0.361, 324.60,  0.386, 357.66,  0.916, 319.39,  0.722, 313.65,  0.687, 302.15,  0.376, 316.40,  0.272, 323.19,  0.254, 331.01,  0.166, 317.37,
30/01/2017 22:00:00, 16.7,232.5,  2.5, -6.4, 45.257, 27.27,  0.0,  0.0,  0.091, 303.42,  0.123, 309.73,  0.129, 302.36,  0.149, 301.70,  0.146, 289.92,  0.154, 280.54,  0.206, 270.18,  0.172, 278.77,  0.152, 278.95,  0.161, 281.61,  0.151, 282.40,  0.154, 300.78,  0.172, 304.72,  0.202, 301.01,  0.209, 300.24,  0.157, 302.76,  0.174, 308.92,  0.189, 320.84,  0.460, 314.31,  0.471, 356.28,  0.685, 333.79,  0.711, 325.54,  0.629, 321.76,  0.388, 315.27,  0.202, 299.24,  0.219, 310.13,  0.246, 293.76,
30/01/2017 23:00:00, 16.6,232.6,  2.5, -6.4, 45.355, 26.84,  0.0,  0.0,  0.135, 278.63,  0.129, 276.51,  0.151, 288.93,  0.136, 282.38,  0.130, 284.49,  0.162, 275.57,  0.155, 275.44,  0.173, 278.32,  0.159, 279.13,  0.133, 265.74,  0.134, 269.20,  0.121, 268.00,  0.075, 285.87,  0.091, 262.41,  0.077, 291.27,  0.072, 305.61,  0.092, 329.28,  0.114, 353.76,  0.399, 323.62,  0.322, 343.88,  0.513, 330.71,  0.671, 322.15,  0.554, 313.68,  0.356, 317.11,  0.215, 322.33,  0.174, 327.71,  0.163, 324.22,
31/01/2017 00:00:00, 16.6,232.6,  2.5, -6.4, 45.498, 26.58,  0.0,  0.0,  0.058,  45.47,  0.038,  17.13,  0.050, 324.07,  0.051,   0.96,  0.057,  11.16,  0.024,  62.50,  0.058, 255.47,  0.095, 261.37,  0.079, 249.90,  0.098, 217.60,  0.090, 206.96,  0.085, 229.14,  0.089, 208.97,  0.085, 200.77,  0.061, 211.56,  0.048, 216.66,  0.063, 157.89,  0.051, 187.03,  0.291, 321.47,  0.392, 358.27,  0.603, 355.77,  0.695, 338.80,  0.473, 332.13,  0.382, 320.53,  0.034,  26.67,  0.046,  27.30,  0.074, 106.61,
31/01/2017 01:00:00, 16.6,232.6,  2.5, -6.4, 45.623, 27.04,  0.0,  0.0,  0.136,  50.16,  0.094,  44.86,  0.079,  62.34,  0.046,  76.86,  0.041, 117.61,  0.041, 167.90,  0.061, 183.58,  0.046, 143.47,  0.034, 135.85,  0.039, 118.78,  0.066, 123.66,  0.090, 153.51,  0.072, 145.78,  0.046, 161.13,  0.041, 170.45,  0.043, 233.40,  0.023, 219.33,  0.024, 190.90,  0.235, 338.35,  0.602,  16.97,  0.818,  14.73,  0.741, 355.38,  0.525,   0.24,  0.360, 339.99,  0.149, 346.84,  0.163, 347.54,  0.103, 343.53,
31/01/2017 02:00:00, 16.6,232.6,  2.5, -6.4, 45.701, 26.44,  0.0,  0.0,  0.169,  80.00,  0.108,  89.28,  0.106,  92.15,  0.119,  99.86,  0.100, 102.03,  0.114, 103.39,  0.139, 114.26,  0.135, 125.66,  0.147, 131.78,  0.118, 136.47,  0.148, 151.63,  0.184, 157.50,  0.141, 168.21,  0.153, 173.68,  0.135, 189.69,  0.092, 185.39,  0.020, 207.60,  0.040, 204.11,  0.251, 345.59,  0.538,  27.97,  0.628,  25.51,  0.696,  24.54,  0.354,   5.55,  0.209, 351.74,  0.047, 108.24,  0.071, 193.47,  0.060, 190.83,
